delta	depth_index	found_depth	found_length	known_length	owner_rank	puzzle_id	run_puzzle_id	solution_path	source_file	source_index	source_solution	variant
0	70	71	75	75	6	703	703	B.BL.-U.FL.D.F.-FL.-L.U.-BR.B.-FL.DL.BL.-U.-L.BL.F.-FR.DR.FR.-D.FR.-DR.-BR.-BR.BL.B.D.DL.-FL.D.FL.-D.DL.D.DR.-L.-B.-BL.DL.B.-DR.-DL.BR.-B.-BR.-BR.BL.BR.-R.FR.-BR.-BR.-DR.BR.DR.U.BR.-D.-DR.D.-BL.-U.R.U.-R.DR.-B.R.-BR.BL.U.-BL.-DR	solve_bucket_fresh_len75_all_k1_5_bw30m_prebuilt.tsv	0		original
0	70	71	75	75	2	703	703	B.BL.-U.FL.D.F.-FL.-L.U.-BR.B.-FL.DL.BL.-U.-L.BL.F.-FR.DR.FR.-D.FR.-DR.-BR.-BR.BL.B.D.DL.-FL.D.FL.-D.DL.D.DR.-L.-B.-BL.DL.B.U.-DR.BR.-DL.-B.BR.-U.-BR.BL.BR.BR.BR.-R.FR.-D.-BR.U.R.BR.-BL.-DR.F.R.U.-R.D.DR.-B.-BR.-DR.-U.-F.U	solve_bucket_fresh_len75_all_k1_5_bw30m_prebuilt.tsv	0		original
0	70	71	75	75	6	703	703	B.BL.-U.FL.D.F.-FL.-L.U.-BR.B.-FL.DL.BL.-U.-L.BL.F.-FR.DR.FR.-D.FR.-DR.-BR.-BR.BL.B.D.DL.-FL.D.FL.-D.DL.D.DR.-L.-B.-BL.DL.B.U.-DR.BR.-DL.-B.BR.-U.-BR.BL.BR.BR.BR.-R.-BR.U.FR.F.-R.BR.-BL.-D.-DR.D.DR.R.-F.U.-B.-BR.-U.R.-DR.U	solve_bucket_fresh_len75_all_k1_5_bw30m_prebuilt.tsv	0		original
0	70	71	75	75	6	703	703	B.BL.-U.FL.D.F.-FL.-L.U.-BR.B.-FL.DL.BL.-U.-L.BL.F.-FR.DR.FR.-D.FR.-DR.-BR.-BR.BL.B.D.DL.-FL.D.FL.-D.DL.D.DR.-L.-B.-BL.DL.B.U.-DR.BR.-DL.-B.BR.-U.-BR.BL.BR.BR.BR.-R.-BR.U.FR.F.-R.BR.-BL.-D.-DR.D.DR.-B.R.-F.U.-BR.-U.R.-DR.U	solve_bucket_fresh_len75_all_k1_5_bw30m_prebuilt.tsv	0		original
0	69	70	75	75	7	703	703	B.BL.-U.FL.D.F.-FL.-L.U.-BR.B.-FL.DL.BL.-U.-L.BL.F.-FR.DR.FR.-D.FR.-DR.-BR.-BR.BL.B.D.DL.-FL.D.FL.-D.DL.D.DR.-L.-B.-BL.DL.B.U.-DR.BR.-DL.-B.BR.-U.-BR.BL.BR.BR.BR.-R.-BR.U.FR.F.-R.-D.BR.R.-DR.D.DR.-F.-BL.U.-B.-BR.-U.R.-DR.U	solve_bucket_fresh_len75_all_k1_5_bw30m_prebuilt.tsv	0		original
0	69	70	75	75	7	703	703	B.BL.-U.FL.D.F.-FL.-L.U.-BR.B.-FL.DL.BL.-U.-L.BL.F.-FR.DR.FR.-D.FR.-DR.-BR.-BR.BL.B.D.DL.-FL.D.FL.-D.DL.D.DR.-L.-B.-BL.DL.B.U.-DR.BR.-DL.-B.BR.-U.-BR.BL.BR.BR.BR.-R.-BR.U.FR.F.-R.-D.BR.R.-DR.D.DR.-F.-BL.-B.U.-BR.-U.R.-DR.U	solve_bucket_fresh_len75_all_k1_5_bw30m_prebuilt.tsv	0		original
-1	70	71	74	75	4	703	703	B.BL.-U.FL.D.F.-FL.-L.U.-BR.B.-FL.DL.BL.-U.-L.BL.F.-FR.DR.FR.-D.FR.-DR.-BR.-BR.BL.B.D.DL.-FL.D.FL.-D.DL.D.DR.-L.-B.-BL.DL.B.U.-DR.BR.-DL.-B.BR.-U.-BR.BL.-BR.-BR.-R.FR.-BR.U.-D.R.F.BR.-DR.R.-BL.U.-R.D.DR.-B.-BR.-U.-DR.-F.U	solve_bucket_fresh_len75_all_k1_5_bw30m_prebuilt.tsv	0		original
0	70	71	75	75	1	703	703	B.BL.-U.FL.D.F.-FL.-L.U.-BR.B.-FL.DL.BL.-U.-L.BL.F.-FR.DR.FR.-D.FR.-DR.-BR.-BR.BL.B.D.DL.-FL.D.FL.-D.DL.D.DR.-L.-B.-BL.DL.B.-DR.-DL.-BR.-B.-BR.BL.-R.FR.-D.-DR.BR.DR.-U.R.U.BR.-R.BR.R.U.BR.-DR.B.D.DR.-B.-BL.BR.-DR.U.BL.-B.-BL	solve_bucket_fresh_len75_all_k1_5_bw30m_prebuilt.tsv	0		original
1	70	71	76	75	0	703	703	B.BL.-U.FL.D.F.-FL.-L.U.-BR.B.-FL.DL.BL.-U.-L.BL.F.-FR.DR.FR.-D.FR.-DR.-BR.-BR.BL.B.D.DL.-FL.D.FL.-D.DL.D.-L.-B.-BL.DL.-BR.-BR.-R.-BR.B.BR.FR.-DL.-B.BR.BL.-D.BR.-U.R.U.U.-DR.-BR.-B.BR.-BL.U.-DL.BL.BR.L.-BL.-BR.-BL.-B.-L.BL.DL.D.B	solve_bucket_fresh_len75_all_k1_5_bw30m_prebuilt.tsv	0		original
1	70	71	76	75	0	703	703	B.BL.-U.FL.D.F.-FL.-L.U.-BR.B.-FL.DL.BL.-U.-L.BL.F.-FR.DR.FR.-D.FR.-DR.-BR.-BR.BL.B.D.DL.-FL.D.FL.-D.DL.D.-L.-B.-BL.DL.-BR.-BR.-R.-BR.B.BR.FR.-DL.-B.BR.BL.-D.BR.-U.R.U.U.-DR.-BR.-B.BR.-BL.U.-DL.BL.BR.L.-BL.-BR.-BL.-L.-B.BL.DL.D.B	solve_bucket_fresh_len75_all_k1_5_bw30m_prebuilt.tsv	0		original
1	70	71	76	75	0	703	703	B.BL.-U.FL.D.F.-FL.-L.U.-BR.B.-FL.DL.BL.-U.-L.BL.F.-FR.DR.FR.-D.FR.-DR.-BR.-BR.BL.B.D.DL.-FL.D.FL.-D.DL.D.DR.-L.-B.-BL.DL.B.U.-DR.BR.-DL.-B.BR.-U.-BR.BL.-BR.-BR.-R.FR.-BR.U.-D.R.F.BR.-DR.R.-BL.U.-R.D.DR.-B.-U.U.-BR.-DR.-U.-F.U	solve_bucket_fresh_len75_all_k1_5_bw30m_prebuilt.tsv	0		original
1	70	71	76	75	0	703	703	B.BL.-U.FL.D.F.-FL.-L.U.-BR.B.-FL.DL.BL.-U.-L.BL.F.-FR.DR.FR.-D.FR.-DR.-BR.-BR.BL.B.D.DL.-FL.D.FL.-D.DL.D.DR.-L.-B.-BL.DL.B.U.-DR.BR.-DL.-B.BR.-U.-BR.BL.-BR.-BR.-R.FR.-BR.U.F.-R.BR.-BL.-D.-DR.D.DR.R.-F.U.-B.-BL.BL.-BR.-U.R.-DR.U	solve_bucket_fresh_len75_all_k1_5_bw30m_prebuilt.tsv	0		original
1	70	71	76	75	0	703	703	B.BL.-U.FL.D.F.-FL.-L.U.-BR.B.-FL.DL.BL.-U.-L.BL.F.-FR.DR.FR.-D.FR.-DR.-BR.-BR.BL.B.D.DL.-FL.D.FL.-D.DL.D.DR.-L.-B.-BL.DL.B.U.-DR.BR.-DL.-B.BR.-U.-BR.BL.-BR.-BR.-R.FR.-BR.U.R.BR.-BL.-D.-DR.R.D.U.-R.DR.-B.-BR.-DR.-U.-F.R.F.-R.U	solve_bucket_fresh_len75_all_k1_5_bw30m_prebuilt.tsv	0		original
1	70	71	76	75	0	703	703	B.BL.-U.FL.D.F.-FL.-L.U.-BR.B.-FL.DL.BL.-U.-L.BL.F.-FR.DR.FR.-D.FR.-DR.-BR.-BR.BL.B.D.DL.-FL.D.FL.-D.DL.D.DR.-L.-B.-BL.DL.B.U.-DR.BR.-DL.-B.BR.-U.-BR.BL.-BR.-BR.-R.FR.-BR.U.R.BR.-BL.-D.-DR.R.D.U.-R.DR.-B.-BR.-DR.-R.U.-BR.-U.BR.R	solve_bucket_fresh_len75_all_k1_5_bw30m_prebuilt.tsv	0		original
1	70	71	76	75	1	703	703	B.BL.-U.FL.D.F.-FL.-L.U.-BR.B.-FL.DL.BL.-U.-L.BL.F.-FR.DR.FR.-D.FR.-DR.-BR.-BR.BL.B.D.DL.-FL.D.FL.-D.DL.D.DR.-L.-B.-BL.DL.B.U.-DR.BR.-DL.-B.BR.-U.-BR.BL.-BR.-BR.-R.FR.-BR.U.F.-R.BR.-BL.-D.-DR.D.DR.R.-F.U.-R.-B.R.-BR.-U.R.-DR.U	solve_bucket_fresh_len75_all_k1_5_bw30m_prebuilt.tsv	0		original
1	70	71	76	75	1	703	703	B.BL.-U.FL.D.F.-FL.-L.U.-BR.B.-FL.DL.BL.-U.-L.BL.F.-FR.DR.FR.-D.FR.-DR.-BR.-BR.BL.B.D.DL.-FL.D.FL.-D.DL.D.DR.-L.-B.-BL.DL.B.U.-DR.BR.-DL.-B.BR.-U.-BR.BL.-BR.-BR.-R.FR.-BR.U.F.-R.BR.-BL.-D.-DR.D.DR.R.-F.U.-B.-R.R.-BR.-U.R.-DR.U	solve_bucket_fresh_len75_all_k1_5_bw30m_prebuilt.tsv	0		original
1	70	71	76	75	1	703	703	B.BL.-U.FL.D.F.-FL.-L.U.-BR.B.-FL.DL.BL.-U.-L.BL.F.-FR.DR.FR.-D.FR.-DR.-BR.-BR.BL.B.D.DL.-FL.D.FL.-D.DL.D.DR.-L.-B.-BL.DL.B.U.-DR.BR.-DL.-B.BR.-U.-BR.BL.-BR.-BR.-R.FR.-BR.U.-D.R.F.BR.-DR.R.-BL.U.-R.D.DR.-B.U.-U.-BR.-DR.-U.-F.U	solve_bucket_fresh_len75_all_k1_5_bw30m_prebuilt.tsv	0		original
1	70	71	76	75	1	703	703	B.BL.-U.FL.D.F.-FL.-L.U.-BR.B.-FL.DL.BL.-U.-L.BL.F.-FR.DR.FR.-D.FR.-DR.-BR.-BR.BL.B.D.DL.-FL.D.FL.-D.DL.D.DR.-L.-B.-BL.DL.B.U.-DR.BR.-DL.-B.BR.-U.-BR.BL.-BR.-BR.-R.FR.-BR.U.F.-R.BR.-BL.-D.-DR.D.DR.R.-F.U.L.-B.-L.-BR.-U.R.-DR.U	solve_bucket_fresh_len75_all_k1_5_bw30m_prebuilt.tsv	0		original
1	70	71	76	75	1	703	703	B.BL.-U.FL.D.F.-FL.-L.U.-BR.B.-FL.DL.BL.-U.-L.BL.F.-FR.DR.FR.-D.FR.-DR.-BR.-BR.BL.B.D.DL.-FL.D.FL.-D.DL.D.DR.-L.-B.-BL.DL.B.U.-DR.BR.-DL.-B.BR.-U.-BR.BL.-BR.-BR.-R.FR.-BR.U.F.-R.BR.-BL.-D.-DR.D.DR.R.-F.U.L.-B.-BR.-L.-U.R.-DR.U	solve_bucket_fresh_len75_all_k1_5_bw30m_prebuilt.tsv	0		original
1	70	71	76	75	1	703	703	B.BL.-U.FL.D.F.-FL.-L.U.-BR.B.-FL.DL.BL.-U.-L.BL.F.-FR.DR.FR.-D.FR.-DR.-BR.-BR.BL.B.D.DL.-FL.D.FL.-D.DL.D.DR.-L.-B.-BL.DL.B.U.-DR.BR.-DL.-B.BR.-U.-BR.BL.-BR.-BR.-R.FR.-BR.U.-D.R.F.BR.-DR.R.-BL.D.U.-R.U.DR.-B.-U.-BR.-DR.-U.-F.U	solve_bucket_fresh_len75_all_k1_5_bw30m_prebuilt.tsv	0		original
1	70	71	76	75	1	703	703	B.BL.-U.FL.D.F.-FL.-L.U.-BR.B.-FL.DL.BL.-U.-L.BL.F.-FR.DR.FR.-D.FR.-DR.-BR.-BR.BL.B.D.DL.-FL.D.FL.-D.DL.D.DR.-L.-B.-BL.DL.B.U.-DR.BR.-DL.-B.BR.-U.-BR.BL.-BR.-BR.-R.FR.-BR.U.F.-R.BR.-BL.-D.-DR.D.DR.R.-F.U.-B.L.-L.-BR.-U.R.-DR.U	solve_bucket_fresh_len75_all_k1_5_bw30m_prebuilt.tsv	0		original
1	70	71	76	75	1	703	703	B.BL.-U.FL.D.F.-FL.-L.U.-BR.B.-FL.DL.BL.-U.-L.BL.F.-FR.DR.FR.-D.FR.-DR.-BR.-BR.BL.B.D.DL.-FL.D.FL.-D.DL.D.DR.-L.-B.-BL.DL.B.U.-DR.BR.-DL.-B.BR.-U.-BR.BL.-BR.-BR.-R.FR.-BR.U.F.-R.BR.-BL.-D.-DR.D.DR.R.-F.U.-B.L.-BR.-L.-U.R.-DR.U	solve_bucket_fresh_len75_all_k1_5_bw30m_prebuilt.tsv	0		original
1	70	71	76	75	1	703	703	B.BL.-U.FL.D.F.-FL.-L.U.-BR.B.-FL.DL.BL.-U.-L.BL.F.-FR.DR.FR.-D.FR.-DR.-BR.-BR.BL.B.D.DL.-FL.D.FL.-D.DL.D.DR.-L.-B.-BL.DL.B.U.-DR.BR.-DL.-B.BR.-U.-BR.BL.-BR.-BR.-R.FR.-BR.U.-D.R.BR.-BL.-DR.D.-FL.F.R.U.-R.DR.-B.-BR.-U.-F.FL.-DR.U	solve_bucket_fresh_len75_all_k1_5_bw30m_prebuilt.tsv	0		original
1	70	71	76	75	1	703	703	B.BL.-U.FL.D.F.-FL.-L.U.-BR.B.-FL.DL.BL.-U.-L.BL.F.-FR.DR.FR.-D.FR.-DR.-BR.-BR.BL.B.D.DL.-FL.D.FL.-D.DL.D.-L.DR.-B.-BL.DL.R.B.-BR.-R.-DR.-DL.-B.-R.FR.-BR.BL.BR.-U.R.U.BR.-R.BR.-D.R.U.-BR.-BR.-DL.-BL.-BR.-B.U.BL.B.-DR.-B.DL.-BL.D	solve_bucket_fresh_len75_all_k1_5_bw30m_prebuilt.tsv	0		original
1	70	71	76	75	1	703	703	B.BL.-U.FL.D.F.-FL.-L.U.-BR.B.-FL.DL.BL.-U.-L.BL.F.-FR.DR.FR.-D.FR.-DR.-BR.-BR.BL.B.D.DL.-FL.D.FL.-D.DL.D.-L.DR.-B.-BL.DL.R.B.-BR.-R.-DR.-DL.-B.-R.FR.-BR.BL.BR.-U.R.U.BR.-R.BR.-D.R.U.-BR.-BR.-DL.-BL.-BR.-B.U.BL.DL.B.-DR.-B.-BL.D	solve_bucket_fresh_len75_all_k1_5_bw30m_prebuilt.tsv	0		original
1	70	71	76	75	1	703	703	B.BL.-U.FL.D.F.-FL.-L.U.-BR.B.-FL.DL.BL.-U.-L.BL.F.-FR.DR.FR.-D.FR.-DR.-BR.-BR.BL.B.D.DL.-FL.D.FL.-D.DL.D.DR.-L.-B.-BL.DL.B.U.-DR.BR.-DL.-B.BR.-U.-BR.BL.-BR.-BR.-R.FR.-BR.U.F.-R.BR.R.-F.-BL.U.-BR.-U.R.U.-D.BR.-DR.D.DR.-B.-BR.-DR	solve_bucket_fresh_len75_all_k1_5_bw30m_prebuilt.tsv	0		original
1	70	71	76	75	1	703	703	B.BL.-U.FL.D.F.-FL.-L.U.-BR.B.-FL.DL.BL.-U.-L.BL.F.-FR.DR.FR.-D.FR.-DR.-BR.-BR.BL.B.D.DL.-FL.D.FL.-D.DL.D.DR.-L.-B.-BL.DL.B.U.-DR.BR.-DL.-B.BR.-U.-BR.BL.-BR.-BR.-R.FR.-D.-BR.U.F.-R.BR.R.-DR.D.DR.-BL.-F.-B.FL.U.-BR.-U.R.-FL.-DR.U	solve_bucket_fresh_len75_all_k1_5_bw30m_prebuilt.tsv	0		original
1	70	71	76	75	1	703	703	B.BL.-U.FL.D.F.-FL.-L.U.-BR.B.-FL.DL.BL.-U.-L.BL.F.-FR.DR.FR.-D.FR.-DR.-BR.-BR.BL.B.D.DL.-FL.D.FL.-D.DL.D.DR.-L.-B.-BL.DL.B.U.-DR.BR.-DL.-B.BR.-U.-BR.BL.-BR.-BR.-R.FR.-D.-BR.U.F.-R.BR.R.-DR.D.DR.-BL.-F.-B.FL.U.-FL.-BR.-U.R.-DR.U	solve_bucket_fresh_len75_all_k1_5_bw30m_prebuilt.tsv	0		original
1	70	71	76	75	1	703	703	B.BL.-U.FL.D.F.-FL.-L.U.-BR.B.-FL.DL.BL.-U.-L.BL.F.-FR.DR.FR.-D.FR.-DR.-BR.-BR.BL.B.D.DL.-FL.D.FL.-D.DL.D.DR.-L.-B.-BL.DL.B.U.-DR.BR.-DL.-B.BR.-U.-BR.BL.-BR.-BR.-R.FR.-BR.U.F.-R.BR.-BL.-D.-DR.D.DR.R.-F.U.R.-B.-R.-BR.-U.R.-DR.U	solve_bucket_fresh_len75_all_k1_5_bw30m_prebuilt.tsv	0		original
1	70	71	76	75	1	703	703	B.BL.-U.FL.D.F.-FL.-L.U.-BR.B.-FL.DL.BL.-U.-L.BL.F.-FR.DR.FR.-D.FR.-DR.-BR.-BR.BL.B.D.DL.-FL.D.FL.-D.DL.D.DR.-L.-B.-BL.DL.B.U.-DR.BR.-DL.-B.BR.-U.-BR.BL.-BR.-BR.-R.FR.-BR.U.-D.R.F.BR.-DR.R.-BL.U.-R.D.DR.-B.-B.B.-BR.-DR.-U.-F.U	solve_bucket_fresh_len75_all_k1_5_bw30m_prebuilt.tsv	0		original
1	70	71	76	75	1	703	703	B.BL.-U.FL.D.F.-FL.-L.U.-BR.B.-FL.DL.BL.-U.-L.BL.F.-FR.DR.FR.-D.FR.-DR.-BR.-BR.BL.B.D.DL.-FL.D.FL.-D.DL.D.DR.-L.-B.-BL.DL.B.U.-DR.BR.-DL.-B.BR.-U.-BR.BL.-BR.-BR.-R.FR.-BR.U.F.-R.BR.-BL.-D.R.-F.U.-BR.-U.BR.-DR.D.DR.-B.-BR.R.-DR.U	solve_bucket_fresh_len75_all_k1_5_bw30m_prebuilt.tsv	0		original
1	70	71	76	75	1	703	703	B.BL.-U.FL.D.F.-FL.-L.U.-BR.B.-FL.DL.BL.-U.-L.BL.F.-FR.DR.FR.-D.FR.-DR.-BR.-BR.BL.B.D.DL.-FL.D.FL.-D.DL.D.DR.-L.-B.-BL.DL.B.-DR.-DL.BR.-B.-BR.-R.FR.-D.-R.-DR.-BR.D.BL.DR.R.-BR.U.BR.-BL.-U.-R.BR.R.-B.-BR.R.U.BR.B.-BR.-B.-BR.-DR.U	solve_bucket_fresh_len75_all_k1_5_bw30m_prebuilt.tsv	0		original
1	70	71	76	75	1	703	703	B.BL.-U.FL.D.F.-FL.-L.U.-BR.B.-FL.DL.BL.-U.-L.BL.F.-FR.DR.FR.-D.FR.-DR.-BR.-BR.BL.B.D.DL.-FL.D.FL.-D.DL.D.DR.-L.-B.-BL.DL.B.U.-DR.BR.-DL.-B.BR.-U.-BR.BL.-BR.-BR.-R.FR.-BR.U.F.-R.BR.-BL.-D.R.-F.U.-BR.-U.R.U.BR.-DR.D.DR.-B.-BR.-DR	solve_bucket_fresh_len75_all_k1_5_bw30m_prebuilt.tsv	0		original
1	70	71	76	75	1	703	703	B.BL.-U.FL.D.F.-FL.-L.U.-BR.B.-FL.DL.BL.-U.-L.BL.F.-FR.DR.FR.-D.FR.-DR.-BR.-BR.BL.B.D.DL.-FL.D.FL.-D.DL.D.DR.-L.-B.-BL.DL.B.-DR.-DL.BR.-B.-BR.-R.FR.-D.-BR.U.-BR.R.BR.-DR.-R.-U.D.-R.DR.-B.-BR.-DR.R.-BR.BL.BR.-U.R.U.BR.U.-BR.U.-BL	solve_bucket_fresh_len75_all_k1_5_bw30m_prebuilt.tsv	0		original
1	70	71	76	75	1	703	703	B.BL.-U.FL.D.F.-FL.-L.U.-BR.B.-FL.DL.BL.-U.-L.BL.F.-FR.DR.FR.-D.FR.-DR.-BR.-BR.BL.B.D.DL.-FL.D.FL.-D.DL.D.DR.-L.-B.-BL.DL.B.U.-DR.BR.-DL.-B.BR.-U.-BR.BL.-BR.-BR.-R.FR.-BR.U.F.-R.BR.-BL.-D.-DR.D.DR.R.-F.U.-B.FL.-BR.-U.R.-FL.-DR.U	solve_bucket_fresh_len75_all_k1_5_bw30m_prebuilt.tsv	0		original
1	70	71	76	75	1	703	703	B.BL.-U.FL.D.F.-FL.-L.U.-BR.B.-FL.DL.BL.-U.-L.BL.F.-FR.DR.FR.-D.FR.-DR.-BR.-BR.BL.B.D.DL.-FL.D.FL.-D.DL.D.DR.-L.-B.-BL.DL.B.U.-DR.BR.-DL.-B.BR.-U.-BR.BL.-BR.-BR.-R.FR.-BR.U.F.-R.BR.-BL.-D.-DR.D.DR.R.-F.U.-B.FL.-FL.-BR.-U.R.-DR.U	solve_bucket_fresh_len75_all_k1_5_bw30m_prebuilt.tsv	0		original
1	70	71	76	75	1	703	703	B.BL.-U.FL.D.F.-FL.-L.U.-BR.B.-FL.DL.BL.-U.-L.BL.F.-FR.DR.FR.-D.FR.-DR.-BR.-BR.BL.B.D.DL.-L.-D.-FR.FL.FR.BR.BR.BL.-R.DL.D.-B.-DL.-FL.-DR.FR.D.-B.DR.-B.BL.B.-DR.B.-BL.-BL.BR.-B.-BL.BR.-U.BR.R.U.BR.-DR.U.R.R.U.BL.-U.-R.-R.DR.U	solve_bucket_fresh_len75_all_k1_5_bw30m_prebuilt.tsv	0		original
1	70	71	76	75	1	703	703	B.BL.-U.FL.D.F.-FL.-L.U.-BR.B.-FL.DL.BL.-U.-L.BL.F.-FR.DR.FR.-D.FR.-DR.-BR.-BR.BL.B.D.DL.-FL.D.FL.-D.DL.D.DR.-L.-B.-BL.DL.B.U.-DR.BR.-DL.-B.BR.-U.-BR.BL.-BR.-BR.-R.FR.-BR.U.F.-R.BR.-BL.-D.-DR.D.DR.R.-F.U.-B.R.-R.-BR.-U.R.-DR.U	solve_bucket_fresh_len75_all_k1_5_bw30m_prebuilt.tsv	0		original
1	70	71	76	75	1	703	703	B.BL.-U.FL.D.F.-FL.-L.U.-BR.B.-FL.DL.BL.-U.-L.BL.F.-FR.DR.FR.-D.FR.-DR.-BR.-BR.BL.B.D.DL.-FL.D.FL.-D.DL.D.DR.-L.-B.-BL.DL.B.U.-DR.BR.-DL.-B.BR.-U.-BR.BL.-BR.-BR.-R.FR.-BR.U.F.-R.BR.-BL.-D.R.-F.U.-R.BR.-DR.-BR.D.DR.R.-B.-BR.R.-DR	solve_bucket_fresh_len75_all_k1_5_bw30m_prebuilt.tsv	0		original
